Class,Text
sport,به گزارش همشهری آنلاین صفحه اینستاگرامی لیگ برتر انگلیس به صعود ایران به نیمه‌نهایی جام ملت‌های آسیا با تصویری از سامان قدوس، بازیکن برنتفورد واکنش نشان داده است.
sport,https://www.hamshahrionline.ir/page/archive.xhtml?wide=0&ms=0&pi=6&tp=9 error
sport,"به گزارش همشهری آنلاین تیم ملی فوتبال کشورمان در دیدار مهم و حساس یک چهارم نهایی جام ملت‌های آسیا، موفق شد با ارائه یک بازی برتر، ۲ بر یک ژاپن را شکست داده و خودش را به جمع ۴ تیم برتر قاره برساند.
امیر قلعه نویی سرمربی تیم ملی فوتبال کشورمان در نشست خبری این دیدار، در پاسخ به سوال خبرنگار ژاپنی که ایران در این بازی از نظر تاکتیکی، بدنی و ذهنی برتر بود و حریف خودش را نابود کرد، اظهار داشت: فوتبال جای نابودی نیست. فوتبال جای لذت بردن است. قبول دارم که از نظر فنی به خصوص بعد از گلی که خوردیم، یکی از بهترین بازی‌هایمان را انجام دادیم. اوایل بازی بچه‌های ما اعتماد به نفس نداشتند. شاید به خاطر نتایج ژاپن قبل از این تورنمنت بود.
وی افزود: برای نیمه دوم یک سری تذکرات فنی دادیم که ۳ هافبک مرکزی آن‌ها اگر از بازی خارج شوند و از جلو پرس کنیم، می‌توانیم حتی در ۹۰ دقیقه برنده شویم. خداراشکر این اتفاق مهم افتاد. ژاپن همیشه برای همه قابل احترام است. فوتبال خیلی خوبی ارائه می‌دهد. با لژیونرهایی که در اروپا دارد نشان داد تیم بزرگی است ولی ما امروز ما خیلی بهتر بازی کردیم. مربیشان هم از دوستان خوب من است. همین ۴-۳ ماه پیش در اجلاس فیفا صندلی‌هایمان کنار هم بود. انسان بسیار با شخصیتی است. او هم فوتبال را از نگاه عاشقی دوست دارد. وقتی از طریق مترجم با هم صحبت کردیم، دیدم چه انسان بزرگی است و چه افکار بزرگی دارد."
sport,"به گزارش همشهری آنلاین «اوسمار ویرا» سرمربی جدید تیم فوتبال پرسپولیس با انتشار پستی در فضای مجازی از این باشگاه و یحیی گل محمدی (سرمربی سابق پرسپولیس) تقدیر و تشکر کرد. اوسمار در پست خود نوشت: «از پرسپولیس بابت فرصتی که برای هدایت ارتش سرخ بزرگ در راه رسیدن به اهداف این فصل به دست آورد بسیار سپاسگزارم. من می‌دانم این مسؤولیت چقدر سنگین است و چقدر پرسپولیس برای هواداران اهمیت دارد. ما همه پرسپولیسیم! ما همه ارتش سرخ بزرگ هستیم! خیلی ممنون یحیی بابت همه دانشی که با من به اشتراک گذاشتی، تو معلم عالی هستی. هرگز دستاوردهای بزرگمان را فراموش نمی‌کنم. با هم ما قوی‌تر هستیم»
اوسمار ویرا فردا راهی تهران خواهد شد و تمرینات این تیم را برای ادامه مسابقات لیگ برتر و جام حذفی زیر نظر خواهد گرفت."
sport,"به گزارش همشهری آنلاین تیم ملی فوتبال ایران در دور یک‌چهارم نهایی جام ملت‌های آسیا توانست با نتیجه دو بر یک برابر ژاپن به پیروزی دست یابد و به دور نیمه‌نهایی صعود کند.
روزنامه الوطن واکنش جالبی به پیروزی ایران برابر ژاپن داشت و با تیتر «سامورایی بای بای؛ ایران ژاپن را حذف و به نیمه‌نهایی صعود کرد» نوشت: تیم ملی فوتبال ایران در بازی برابر ژاپن با نتیجه دو بر یک به پیروزی دست پیدا کرد. در نیمه نخست ژاپن بازی بهتری را به نمایش گذاشت و در بیشتر زمان‌های بازی توپ و میدان را در اختیار داشت. در این نیمه ژاپن با یک گل پیروز به رختکن رفت اما در نیمه دوم این ایران بود که کاملا تیم برتر میدان بود و توانست دو گل به ثمر رساند تا در نهایت با نتیجه دو بر یک به پیروزی برسد و به دور نیمه‌نهایی راه پیدا کند.
البته این روزنامه قطری به نظر تیتر «بای‌بای سامورایی» را از عصام الشوالی، گزارشگر و مفسر سرشناس تونسی شبکه الجزیره، وام گرفته باشد که بعد از گل جهانبخش با شور و هیجان زیاد این عبارت را به کار برده بود."
sport,https://www.hamshahrionline.ir/page/archive.xhtml?wide=0&ms=0&pi=5&tp=9 error
sport,به گزارش همشهری آنلاین، با اعلام رسمی باشگاه استقلال، جلال‌الدین ماشاریپوف با عقد قراردادی، به جمع شاگردان نکونام اضافه شد.
sport,"به گزارش همشهری آنلاین، مدیرعامل باشگاه گل‌گهر سیرجان اعلام کرد رضایت‌نامه علیرضا علیزاده برای حضور در پرسپولیس صادر نخواهد شد.
محمد اسفندیارپور درباره نامه باشگاه پرسپولیس برای صدور رضایت‌نامه علیرضا علیزاده جهت پیوستن به جمع سرخپوشان اظهار داشت: برای سه چهار بازیکن ما چندین باشگاه نامه زده‌اند. پاسخ ما هم مشخص است؛ این‌ نفرات بازیکن تیم ما هستند و نیازشان داریم و قصدی برای فروش آنها نداریم.
وی در پاسخ به این پرسش که آیا نامه باشگاه پرسپولیس به دست آنها رسیده است، گفت: بله! اما پاسخی به آن نخواهیم داد، چون پاسخ نداریم و علیزاده بازیکن ماست.
مدیرعامل باشگاه گل‌گهر سیرجان همچنین خاطر نشان کرد: علاوه بر پرسپولیس چند باشگاه دیگر مانند استقلال، سپاهان و تراکتور هم نامه زدند، اما ما قصدی برای فروش نداریم."
sport,"به گزارش همشهری آنلاین، انتشار ویدیویی از یک تیک تاکر معروف ژاپنی، حسابی خبرساز شده بود. این فرد که با لباس تیم ملی کشورش در بازارهای قطر حضور داشت، به همراه تعدادی از هواداران عرب و به زبان عربی، برای تیم ملی ایران کری خوانده بود.
او در این ویدیو و در شرایطی که با بیش از ۲۰ فرد عرب زبان در حال به کار بردن جمله ""ایرانی توی سرت بزن"" بود، با حرکاتی که انجام می‌داد، دستش را روی سرش می‌گذاشت که پس از پیروزی تیم ملی، مهدی قایدی، علی قلی زاده و سردار آزمون در رختکن تیم ملی، حرکت او را تکرار کرده و اینگونه جواب کری خوانی این فرد ژاپنی را دادند.
حالا این تیک تاکر ژاپنی ویدیوی جدیدی را در صفحه شخصی خود بارگذاری کرده که ضمن تبریک پیروزی تیم ملی، چند کلمه فارسی را نیز به زبان می‌آورد که با استقبال زیادی در فضای مجازی همراه شده است.
این تیک تاکر می‌گوید: مرسی تیم ملی ایران و هواداران کشور ایران. مبارک ایران، دوستت دارم!"
sport,"به گزارش همشهری‌آنلاین، ۲تیم سرخپوش بالای جدول امشب برای آبی کمرنگ بازی می‌کنند. نتیجه مساوی بازی آرسنال- لیورپول به سود منچسترسیتی است و حتی برد آرسنال هم می‌تواند گواردیولا را به صدر جدول ببرد. تنها چیزی که سیتی از این دیدار نمی‌خواهد برد لیورپول است. ۴هفته پیش که در دور سوم جام‌حذفی ۲تیم به مصاف هم رفتند، مردان یورگن کلوپ با نتیجه ۲بر صفر پیروز شدند اما نظر بسیاری از کسانی که بازی را دیدند، این بود که آرسنال با داشتن موقعیت‌های بهتر، به‌خصوص در نیمه‌اول، تا حدودی بدشانس بود که بازی را باخت. شاید بهتر باشد توپچی‌ها برای جبران آن نتیجه و بیشتر برای عقب نیفتادن از کورس قهرمانی، به بازی هوایی روی بیاورند؛ جایی که در آن تبحر دارند. در این فصل آرسنالی‌ها ۱۱بار با سر موفق به گلزنی شده‌اند که ۲گل از نزدیک‌ترین تعقیب‌کنندگان یعنی ناتینگهام و لوتون (۹) بیشتر است. گابریل ماگالاییش (۳گل ازجمله یک گل به لیورپول)، ژسوس(۲)، تروسار، ساکا، سالیبا، بن وایت، هاورتز و دکلان رایس زننده این گل‌ها بودند. این گل‌ها از ۱۸موقعیت مسلم گلزنی روی ضربات سر به‌دست آمده؛ یعنی ۶۱.۱درصد موفقیت. ۴تا از این گل‌ها از روی ارسال‌های کرنر زده شده است. آرتتا از بازیکنانش می‌خواهد کرنر را روی دروازه سانتر کنند و به همین دلیل ۱۴۴تا از ۱۴۵کرنر آنها سانتر بوده و فقط یکی با پاس کوتاه انجام شده است.
البته لیورپولی‌ها با اینکه زیاد علاقه‌ای به گلزنی با سر ندارند، در دوئل‌های هوایی از آرسنال بهتر عمل می‌کنند و وقتی روی دروازه حریف هستند، به سرزن‌های بهتری تبدیل می‌شوند. آنها ۵۷.۲درصد از نبردهای هوایی را می‌برند، در برابر ۴۸.۸درصد پیروزی توپچی‌ها در اینگونه نبردها. این را هم درنظر بگیرید که از ۱۳۴کرنر لیورپول در این فصل فقط ۴۸تا اینسویینگر بوده، یعنی به سمت دروازه سانتر شده و نه به بیرون و نقطه پنالتی یا پاس کوتاه. آنها از این ضربات ۴بار به گل رسیده‌اند که هیچ‌کدام با ضربه سر نبوده. در برد ۴ بر یک مقابل چلسی برای دومین‌بار در ۲۲بازی این فصل لیورپول به گل رسید. گل قبلی را صلاح در بازی با برنتفورد در نوامبر به ثمر رسانده بود.
از ۵۳ضربه سری که قرمزها روانه دروازه حریفان کرده‌اند، فقط ۲توپ وارد دروازه شده که این بدترین نرخ ممکن بین همه تیم‌ها حتی کریستال پالاس و برنلی و شفیلد است که یک گل با سر زده‌اند. با همه اینها لیورپول در این فصل پس از آرسنال (۳) کمترین تعداد گل را با ضربه سر از حریفان دریافت کرده (۴) است.
دیوگو ژوتا در ۵بازی قبلی خود در امارات برای لیورپول در تمامی رقابت‌ها ۵گل به ثمر رسانده و ۲پاس گل داده است؛ میانگین هر ۴۱دقیقه یک تأثیر مستقیم روی گل. از زمانی که ژوتا در سال۲۰۲۰ به این باشگاه پیوسته، محمد صلاح تنها بازیکن لیگ برتری است که در یک زمین خارج از خانه روی گل‌های بیشتری تأثیر دارد (۷گل در اولدترافورد).
آرسنال عادت کرده در مسابقات لیگ مقابل لیورپول خوب شروع کند. آنها در ۱۰دقیقه ابتدایی ۳دیدار اخیر خود در لیگ با قرمزها گل زده‌اند، اگرچه فقط در یکی از آن بازی‌ها پیروز شده‌اند (۲تساوی). آنها آخرین بار در ۴بازی متوالی لیگ مقابل لیورپول بین آگوست۱۹۶۷ و نوامبر۱۹۷۰ نخستین گل را به ثمر رسانده بودند.
گابریل مارتینلی در ۲مورد از ۳دیدار اخیر تیمش در لیگ مسئول گل اول بوده. او از زمان ورود به آرسنال در سال۲۰۱۹، در بازی لیورپول (۴گل و ۲پاس گل) بیش از هر تیم دیگری، روی گل‌های تیمش مؤثر بوده.
داروین نونیس در بازی با چلسی ۴بار به دیرک دروازه حریف کوبید؛ ازجمله یک ضربه پنالتی. این یک رکورد در تاریخ لیگ از زمان ثبت آمارها از سال۲۰۰۳ است. داروین در این فصل ۹بار ضربه‌های خود را به دیرک دروازه زده است.
آرنولد احتمالا به این بازی می‌رسد. او در بازی اخیر در لیگ ۶پاس گل مقابل آرسنال به ثبت رسانده که تنها یک‌پاس از استیون جرارد کمتر است. جانشین آرنولد در چند بازی اخیر جوانی ۲۰ساله به نام بردلی است که مقابل چلسی یک گل و ۲پاس گل ثبت کرد. در تاریخ لیگ برتر، فقط ۲مدافع زیر ۲۱سال به‌طور مستقیم در ۳+گل در یک بازی نقش داشته‌اند: ترنت الکساندر-آرنولد، فوریه۲۰۱۹ (مقابل واتفورد) و کانر بردلی، ژانویه ۲۰۲۴(مقابل چلسی).
آرسنال از ۳بازی اخیر خود مقابل لیورپول ۵امتیاز گرفته است (یک برد و ۲تساوی)؛ به اندازه ۱۲بازی قبلی خود (یک برد، ۲تساوی و ۹باخت).
توپچی‌ها برای نخستین بار از زمانی که تیم آرسن ونگر بین دسامبر ۲۰۱۴تا ژانویه ۲۰۱۶مقابل لیورپول شکست نخورده بودند، (یک پیروزی و ۳تساوی) به‌دنبال شکست‌ناپذیری در ۴بازی متوالی لیگ مقابل قرمزها هستند.
لیورپول در ۱۶بازی متوالی لیگ مقابل آرسنال موفق به گلزنی شده که آخرین بار در آگوست۲۰۱۵ توپچی‌ها در یک بازی بدون گل خورده از میدان خارج شدند. در مجموع آنها ۱۰۸گل در لیگ برتر مقابل توپچی‌ها به ثمر رسانده‌اند و تنها تیمی هستند که بیش از ۱۰۰ گل مقابل این تیم داشته‌اند.
آرسنال در ۶بازی از ۷بازی اخیر خود در لیگ در امارات پیروز شده است و فقط ۲۸دسامبر ۲بر صفر مقابل وستهم شکست خورده‌ است. فقط لیورپول (۲۹) و استون‌ویلا (۲۸) در فصل جاری لیگ برتر بیش از آرسنال (۲۶) موفق به کسب امتیاز در خانه شده‌اند.
لیورپول ۴بازی از ۵بازی آخرش در امارات را برده است و ۱۱گل به ثمر رسانده و فقط ۳گل خورده؛ یک پیروزی بیشتر از ۲۶دیدار قبلی (۳). در واقع لیورپول از ۱۷بازی اول خود در ورزشگاه امارات از سال ۲۰۰۶ تا ۲۰۲۰ فقط ۲برد کسب کرده بود (۸تساوی و ۷شکست)، از آن زمان تاکنون در ۴بازی از ۵بازی آخر خارج از خانه خود مقابل آرسنال در همه رقابت‌ها پیروز شده و تنها یک‌بار باخته.
این دویستمین دیدار لیگ بین ۲غول فوتبال انگلستان است و پنجمین مسابقه‌ای خواهد بود که ۲۰۰بار در تاریخ لیگ انگلیس برگزار ‌شده. لیورپول در حال‌حاضر ۷۹پیروزی در مقابل ۶۶پیروزی و ۵۴تساوی آرسنال به‌خود اختصاص داده است. کلوپ هفته پیش برای دویستمین بار در لیگ برتر روی نیمکت لیورپول نشسته بود."
sport,"به گزارش همشهری آنلاین، دانیال مرادی، رییس دپارتمان داوری فدراسیون فوتبال درباره معرفی داوران لیگ برتری که لایسنس VAR را دارند، عنوان کرد: در نیم فصل اول فوتبال باشگاهی ایران، موعود بنیادی‌فر تنها داور ایرانی بود که لایسنس قضاوت با کمک داور ویدئویی را داشت اما با تلاش مسئولان فدراسیون فوتبال و کمیته داوران چهار داور دیگر هم مجوز قضاوت با VAR را از سوی فدراسیون جهانی فوتبال (فیفا) دریافت کردند.
وی اضافه کرد: مهناز ذکایی، حسن اکرمی، امیر عرب‌براقی و مرتضی منصوریان داورانی هستند که بعد از حضور در کافا و قضاوت مسابقاتی در ازبکستان مجوز قضاوت با VAR را دریافت کرده‌اند."
sport,به گزارش همشهری آنلاین، ضمن تبریک پیروزی تیم ملی فوتبال کشورمان مقابل ژاپن و صعود به مرحله نیمه نهایی جام ملت های آسیا و با توجه به اهمیت ادامه حضور مقتدرانه تیم ملی در جام ملت ها و همچنین لزوم تمرکز بیشتر و مطلوب تر ملی پوشان و همکاری با باشگاه هایی که بازیکنان خود را در اختیار تیم ملی قرار داده اند و متعاقبا درخواست رسمی دو باشگاه پرسپولیس و استقلال که به ترتیب ۳ و ۲ بازیکن در اردوی تیم ملی در قطر دارند، دو دیدار پرسپولیس – نفت و گاز گچساران و مس رفسنجان و استقلال در جام حذفی که مقرر بود روز جمعه ۲۰ بهمن برگزار شود، لغو و به زمان دیگری موکول می گردد.
sport,"ورمزیار در گفت وگو با همشهری آنلاین با اشاره به برد تیم ملی مقابل ژاپن در مرحله یک چهارم نهایی جام ملتهای آسیا تاکید کرد: در درجه اول این برد را به مردم تبریک می گویم که دلشان شاد شد. بعد به کادرفنی و بازیکنان خوب تیم ملی که زحمت کشیدند. ولی باید بگویم نیمه اول حرفی برای گفتن نداشتیم. تیم ژاپن توپ و میدان را در اختیار گرفت و گل هم زد. متاسفانه باید تاکید کنم دفاع های وسط مان اگر بخواهند بی احتیاطی کنند می تواند به تیم ملی ضربه بزند. در آن منطقه (خط دفاعی) باید هوشیارانه عمل کنیم.
وی افزود: سه بازیکن خط جلوی ما (آزمون، جهانبخش و محبی) خوب کار کردند در کنار آنها محبی هم خیلی خوب بود. البته همه بازیکنان خوب بودند اما این ۴ بازیکن بیشتر از بقیه توان گذاشتند وگرنه در نیمه دوم قدوس، عزت الهی و رضاییان خوب کار کردند و توانستیم روی ارسال ها ضربه ای که می خواهیم به ژاپن بزنیم.
این پیشکسوت فوتبال کشورمان درباره اینکه چرا در نیمه اول برابر ژاپن نتوانستیم انتظارات را برآورده کنیم گفت: ۷۰-۸۰ درصد به ذهنیت خودمان ربط داشت. در کنارش بازی قبل از آن ۱۲۰ دقیقه مقابل سوریه بازی کرده بودیم. در نیمه اول از اسم ژاپن هم ترسیده بودیم اما در نیمه دوم توانستیم بازی قابل قبولی ارائه دهیم و برنده بازی شویم.
ورمزیار درخصوص اینکه برخی منتقدین تاکید دارند تیم ملی ۵ بازی در جام ملتها انجام داده و فقط در نیمه دوم بازی با ژاپن فوتبال قابل قبولی ارائه داده است تصریح کرد: تیم ملی ۵ بازی انجام داده و ۵ برد را کسب کرده است این نتیجه دیگر جایی برای انتقاد نمی گذارد. البته من هم قبول دارم ما نقطه ضعف داریم اما مهم این است که تیم ببرد و این کار را می کند. اگر یک یا دو بازی را برده بودیم می توانستیم بگویم شانسی برده ایم ولی ۵ بازی را که نمی توانیم بگویم شانسی برده ایم! ما با هر ترفندی بوده ۵ بازی است که می بریم.
ورمزیار در خصوص بازی تیم ملی مقابل قطر در مرحله نیمه نهایی جام ملتها تاکید کرد: بازی باقطر حتی از بازی مان مقابل ژاپن سخت تر است به خاطر اینکه ژاپن با وجود اینکه در خط حمله خوب کار می کند ولی برابر بحرین هم نشان داد استرس دارد. در صورتی که قطر این استرس را ندارد . از لحاظ روحی و روانی با شرایط خوبی وارد بازی می شوند با این حال معتقدم بازی را می بریم اما کار سختی پیش رو داریم. پیش بینی نتیجه بازی سخت است چراکه هم ما خط حمله خوبی داریم هم قطر در فاز تهاجمی خوب است در این شرایط بستگی به شرایط عملکردمان در خط دفاعی دارد با این حال فکر می کنم یک بر صفر یا دو بریک پیروز می شویم.
او در پایان خاطرنشان کرد: ما در تیم ملی اشتباهاتی داریم ولی با چند ماه نمی شود ضعف ها را پوشش داد. ژاپن برنامه ۱۰-۱۵ سال دارد اما آقای قلعه نویی ۵-۶ ماه است که تیم را در دست گرفته است به هر حال زمان می خواهد تا تغییرات لازم را ایجاد کند."
